eventId,year,awardType
GYSTB,2021,Bronze Award
GYSTB,2021,First Prize
GYSTB,2021,Fourth Prize
GYSTB,2021,Gold Award
GYSTB,2021,Second Prize
GYSTB,2021,Silver Award
GYSTB,2021,Third Prize
IEF,2022,Bronze
IEF,2022,Commendation
IEF,2022,Gold
IEF,2022,Silver
IEF,2023,Bronze
IEF,2023,Commendation
IEF,2023,Gold
IEF,2023,Silver
IRC-SET,2021,Best Paper Award
IRC-SET,2021,Best Presenter Award
isyfDigital,2021,1st Place
isyfDigital,2021,2nd Place
isyfDigital,2021,3rd Place
NSTS,2023,Commendation
NSTS,2023,First Place
NSTS,2023,Second Place
NSTS,2023,Third Place
PRDC,2023,Bronze
PRDC,2023,Gold
PRDC,2023,Merit
PRDC,2023,Silver
SSEF,2021,Bronze
SSEF,2021,ECS Special Award
SSEF,2021,Gold
SSEF,2021,IChemE Award
SSEF,2021,Merit
SSEF,2021,SAAS Poster Award
SSEF,2021,Silver
SSEF,2021,SMS Award for Ingenuity
SSEF,2021,SSMB Award
SSEF,2021,SUTD R&I Award: Artificial Intelligence
SSEF,2021,SUTD R&I Award: Aviation
SSEF,2021,SUTD R&I Award: Cities
SSEF,2021,SUTD R&I Award: Healthcare
SSEF,2021,SUTD R&I Award: Multi-Disciplinary
SSEF,2021,Yale-NUS Special Award
SSEF,2022,Bronze
SSEF,2022,ECS Special Award
SSEF,2022,Gold
SSEF,2022,IChemE Award
SSEF,2022,Merit
SSEF,2022,SAAS Poster Award
SSEF,2022,Silver
SSEF,2022,SMS Award for Ingenuity
SSEF,2022,SSMB Award
SSEF,2022,SUTD R&I Award: Artificial Intelligence
SSEF,2022,SUTD R&I Award: Aviation
SSEF,2022,SUTD R&I Award: Cities
SSEF,2022,SUTD R&I Award: Healthcare
SSEF,2022,SUTD R&I Award: Multi-Disciplinary
SSEF,2022,Yale-NUS Special Award
SSEF,2023,Bronze
SSEF,2023,ECS Special Award
SSEF,2023,Gold
SSEF,2023,IChemE Award
SSEF,2023,Merit
SSEF,2023,SAAS Poster Award
SSEF,2023,Silver
SSEF,2023,SMS Award for Ingenuity
SSEF,2023,SSMB Award
SSEF,2023,SUTD R&I Award: Artificial Intelligence
SSEF,2023,SUTD R&I Award: Aviation
SSEF,2023,SUTD R&I Award: Cities
SSEF,2023,SUTD R&I Award: Healthcare
SSEF,2023,SUTD R&I Award: Multi-Disciplinary
SSEF,2023,Yale-NUS Special Award
STYau,2022,Charles K. Kao High School Physics Gold Award
STYau,2022,Chin-Yin Chiu High School Economic and Financial Modeling Gold Award
STYau,2022,Ching W. Tang High School Chemistry Gold Award
STYau,2022,Harry Shum High School Computer Science Gold Award
STYau,2022,Honorable Mention
STYau,2022,Shiing-Shen Chern High School Mathematics Gold Award
STYau,2022,Silver Prize
STYau,2022,Yuet-Wai Kan High School Biology Gold Award
