pcode,title,teacherEmail,year
20.022.NUSE.PH,Gait Monitoring and Analysis for Parkinson's Disease Patients,nhslyh@nushigh.edu.sg,2021
20.047.DSO_.CS,Social media analytics,nhsncl@nushigh.edu.sg,2021
20.115.NUSH.MA,Analysis of a Pseudorandom Bit Generator Based on Elliptic Curves,nhsljyl@nushigh.edu.sg,2021
21.014.SMA_.BI,Optimization of logic gates for one-step detection of microRNAs via Split loop-mediated isothermal amplification (Split-LAMP),nhskalpa@nushigh.edu.sg,2023
21.022.NTU_.BI,Understanding the correlations between resilience and role-play,nhslsf@nushigh.edu.sg,2022
21.029.SUTD.CS,Embodied AI for computational perception and understanding of spatial designs,nhsncl@nushigh.edu.sg,2022
21.038.IHPC.BI,Association of Genetic Risk for Rheumatoid Arthritis with Psychological and Cognitive Well-being,nhsmjjp@nushigh.edu.sg,2022
21.048.NSPC.PH,"Optimization of the Telemetry, Tracking and Commmunications System in a CubeSat",nhsaj@nushigh.edu.sg,2023
21.050.NSPC.PH,Implementation of Electrical Power System on a 1U Cubesat,nhsaj@nushigh.edu.sg,2023
21.122.NUSC.CM,Performance Evaluation of Recycled Acyl-Modified Chitosan Filtration Membranes on Polluted Water Using Spectroscopic Techniques,nhstyl@nushigh.edu.sg,2023
21.123.NUH_.BI,A Retrospective Colectomy Study on Post-operative Drain Use and Complications,nhskalpa@nushigh.edu.sg,2023
22.011.NUSH.PH,An Automated Screening System for Trinary Star System Candidates,nhsbrw@nushigh.edu.sg,2023
22.031.NERI.CM,"Interactions between polyethylene and emerging organic contaminants, and its applications: adsorption in different mediums and effect of aging",nhsmjjp@nushigh.edu.sg,2023
22.032.IMRE.CM,"Solid State Materials for Energy Harvesting and Cooling: from Materials Synthesis, Characterization, and Analysis to Applications",nhscal@nushigh.edu.sg,2023
22.034.NUSP.PH,Laser-Transformed C-ZnTi as Luminious Photosensor,nhscs@nushigh.edu.sg,2023
22.039.NUSB.BI,Understanding the Genetic Basis of Resistance to Combined Heat and Drought stress in Arabidopsis thaliana accessions,nhslsf@nushigh.edu.sg,2023
22.040.NIE_.MA,Cultural adaptation of the dietary choice of international students living in boarding schools,nhslimtc@nushigh.edu.sg,2023
22.041.SMU_.MA,Legal Beagle: Law Classification and Identification App via Novel Deep Learning Graphical Neural Networks and Attention Networks,nhslimtc@nushigh.edu.sg,2023
22.042.SCS_.MA,On the Modification of Recursive Sequences of the form an=an-1+an-j,nhslimtc@nushigh.edu.sg,2023
22.044.YLL_.BI,Qualitative Cardioscopic Analysis of Tricuspid Valve Apparatus in a Semi-Pulsatile Fluid Dynamic Model,nhscs@nushigh.edu.sg,2023
22.047.NUSC.CM,Growth and Crystallographic Characterisation of Beryllium Nitride Crystals,nhscal@nushigh.edu.sg,2023
22.050.SUTD.CM,Construction of a Low-Energy Capacitive Deionisation Device for Effective Desalination,nhsfssf@nushigh.edu.sg,2023
22.051.NUSC.CM,"First principles investigation of electronic structure, ligand field and magnetism of Re(III) compounds",nhsmk@nushigh.edu.sg,2023
22.052.NUS_.PH,Optimisation of the Design of an Electromagnetic Projectile Launcher,nhsnte@nushigh.edu.sg,2023
22.053.NUSE.CM,Anaerobic Digestion of Food and Horticulture Waste,nhsksb@nushigh.edu.sg,2023
22.055.IMRE.PH,"	Exploring the Electrical Characteristics of 2D Semiconductors for Quantum Computing",nhsnte@nushigh.edu.sg,2023
22.056.DSO_.CS,Real-World Implementation and Security Analysis of Structured Encryption on Amazon-Web Services,nhsncl@nushigh.edu.sg,2023
22.058.DSO_.CS,Explainable Video Analytics - A wide area multi-camera tracking perspective.,nhscesc@nushigh.edu.sg,2023
22.059.DSO_.CS,Automated scanning of software patches in compiled binaries,nhscsp@nushigh.edu.sg,2023
22.064.SIGN.BI,Nonlesional skin microbiome differs between children with atopic dermatitis (AD) and those with history of AD,nhsskh@nushigh.edu.sg,2023
22.065.SIGN.BI,Sensitisation Profiles of House Dust Mite-allergic subjects using an Allergen Microarray Platform,nhsskh@nushigh.edu.sg,2023
22.066.NIE_.PH,Optically and Wirelessly Re-chargeable Buffer Batteries,nhsbrw@nushigh.edu.sg,2023
22.069.SERI.PH,Development of photoluminescence imaging of perovskite solar cells,nhslyh@nushigh.edu.sg,2023
22.070.NTU_.CM,Power Supply System for Smart Contact Lens,nhslw@nushigh.edu.sg,2023
22.073.NTU_.HU,Singapore Crypto-Linguistics: Deciphering the Singapore Stone,nhsbww@nushigh.edu.sg,2023
22.074.IMRE.CM,Synthesis of mixed ligand MIL-53(Al) for defect engineering,nhslw@nushigh.edu.sg,2023
22.077.SUTD.PH,Shielding-Free Signal Noise Suppression in Portable Low-Field MRI,nhssy@nushigh.edu.sg,2023
22.078.IMRE.CM,Paper-based chemical sensors for food freshness monitoring,nhsfssf@nushigh.edu.sg,2023
22.079.SUTD.CS,Detecting Cyberbullying in Localised Text Messages using a Novel Classroom-Based Noisy Student Training Technique,nhsncl@nushigh.edu.sg,2023
22.084.NUSB.BI,Reliability of coral species identification for traceability in the aquarium trade,nhshs@nushigh.edu.sg,2023
22.085.SICS.BI,Investigating the association between antenatal mosquito-borne viral infections on pregnancy and child outcomes in Singapore,nhsskh@nushigh.edu.sg,2023
22.086.YLL_.BI,Optimising in vitro production of late stage Plasmodium falciparum gametocytes for Anopheles sinesis infection,nhsthc@nushigh.edu.sg,2023
22.087.CNGP.CS,Vessel Trajectory Prediction in Maritime Transportation based on deep learning,nhscs@nushigh.edu.sg,2023
22.088.YLL_.RE,Prevalence of Allergies in Singaporean Teens,nhscs@nushigh.edu.sg,2023
22.090.SRIS.BI,Effect of Animal Extract on Wound Healing in 3T3 Fibroblasts​,nhslsf@nushigh.edu.sg,2023
22.092.NUSH.MA,Representing Royal Families using Graph Theory,nhswh@nushigh.edu.sg,2023
22.096.NUH_.BI,Investigating MK2 levels in clinical asthma of varying severity,nhscjnr@nushigh.edu.sg,2023
22.097.YLL_.BI,Characterization of Klebsiella Pneumonia phages for Phage Therapy,nhsthc@nushigh.edu.sg,2023
22.099.NUSC.CM,Using FTIR to Investigate the Effects of Different Conditions on Plastic Degradation,nhstyl@nushigh.edu.sg,2023
22.100.NTU_.RE,Multimodal assessment and coaching feedback to improve Public Speaking performance,nhscs@nushigh.edu.sg,2023
22.101.IMRE.PH,Infrared Laser Locking to Rubidium Saturated Absorption Spectrum,nhspbh@nushigh.edu.sg,2023
22.103.NUSB.BI,Potential Factors influencing Local Butterfly Biodiversity in Park Connectors,nhslsf@nushigh.edu.sg,2023
22.104.IHPC.RE,Neurocognitive Functioning and School Performance in Students With Special Education Needs,nhsmjjp@nushigh.edu.sg,2023
